"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"2411403";"      Santana do Matos";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2413003";"      São Vicente";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"88,889";"11,111";"100,000";"95,238";"4,762";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2414159";"      Tenente Laurentino Cruz";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"24011";"    Seridó Ocidental";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"87,746";"12,254";"100,000";"97,649";"2,351";"100,000";"89,066";"10,934";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"99,524";"0,476";"100,000";"100,000";"-"
"2402006";"      Caicó";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"75,117";"24,883";"100,000";"98,039";"1,961";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2404804";"      Ipueira";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"90,909";"9,091";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"97,222";"2,778";"100,000";"100,000";"-"
"2405603";"      Jardim de Piranhas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"66,667";"33,333";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2411809";"      São Fernando";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2412104";"      São João do Sabugi";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"50,000";"50,000";"100,000";"-";"100,000";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2413409";"      Serra Negra do Norte";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2414308";"      Timbaúba dos Batistas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"75,000";"25,000";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"24012";"    Seridó Oriental";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"99,062";"0,938";"100,000";"95,567";"4,434";"100,000";"94,326";"5,674";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"99,314";"0,686";"100,000";"100,000";"-"
"2400109";"      Acari";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"98,039";"1,961";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2402402";"      Carnaúba dos Dantas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"88,462";"11,538";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"93,750";"6,250";"100,000";"100,000";"-"
"2403004";"      Cruzeta";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"66,667";"33,333";"100,000";"61,538";"38,462";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2403103";"      Currais Novos";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"95,238";"4,762";"100,000";"85,714";"14,286";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2403400";"      Equador";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405702";"      Jardim do Seridó";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2408508";"      Ouro Branco";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2408904";"      Parelhas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"99,668";"0,332";"100,000";"99,225";"0,775";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2411429";"      Santana do Seridó";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2412401";"      São José do Seridó";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"62,500";"37,500";"100,000";"-";"100,000";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2403";"  Agreste Potiguar";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"87,989";"12,011";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"24013";"    Baixa Verde";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2401602";"      Bento Fernandes";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405108";"      Jandaíra";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405801";"      João Câmara";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2408805";"      Parazinho";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2410108";"      Poço Branco";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"24014";"    Borborema Potiguar";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2401503";"      Barcelona";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2402105";"      Campo Redondo";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2402808";"      Coronel Ezequiel";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405009";"      Jaçanã";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405405";"      Japi";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2406403";"      Lagoa de Velhos";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2406809";"      Lajes Pintadas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2407906";"      Monte das Gameleiras";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2411106";"      Ruy Barbosa";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2411205";"      Santa Cruz";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2411700";"      São Bento do Trairí";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2412302";"      São José do Campestre";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2412906";"      São Tomé";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2413300";"      Serra de São Bento";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2413706";"      Sítio Novo";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2414001";"      Tangará";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"24015";"    Agreste Potiguar";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"77,021";"22,979";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2401701";"      Bom Jesus";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2401800";"      Brejinho";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"50,000";"50,000";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"...";"...";"..."
"2404606";"      Ielmo Marinho";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2405306";"      Januário Cicco";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
