"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"2402303";"      Caraúbas";"2360";"2360";"-";"2543";"2543";"-";"600";"600";"-";"800";"800";"-";"980";"980";"-";"980";"980";"-";"495";"495";"-";"...";"...";"...";"900";"900";"-";"50";"50";"-";"300";"300";"-";"300";"300";"-";"550";"550";"-";"350";"350";"-";"360";"360";"-";"350";"350";"-";"560";"560";"-";"800";"800";"-"
"2403707";"      Felipe Guerra";"340";"340";"-";"312";"312";"-";"280";"280";"-";"280";"280";"-";"300";"300";"-";"400";"400";"-";"530";"530";"-";"...";"...";"...";"250";"250";"-";"20";"20";"-";"50";"50";"-";"80";"80";"-";"-";"-";"-";"70";"70";"-";"60";"60";"-";"70";"70";"-";"80";"80";"-";"90";"90";"-"
"2404309";"      Governador Dix-Sept Rosado";"1000";"1000";"-";"896";"896";"-";"1000";"1000";"-";"1600";"1600";"-";"914";"914";"-";"1000";"1000";"-";"1000";"1000";"-";"4";"4";"-";"815";"800";"15";"80";"80";"-";"500";"500";"-";"900";"900";"-";"700";"700";"-";"700";"700";"-";"750";"750";"-";"700";"700";"-";"2300";"2300";"-";"2500";"2500";"-"
"24003";"    Médio Oeste";"3795";"3795";"-";"3792";"3792";"-";"729";"729";"-";"1870";"1870";"-";"1781";"1781";"-";"2300";"2300";"-";"2316";"2316";"-";"145";"145";"-";"1835";"1830";"5";"395";"395";"-";"595";"595";"-";"892";"892";"-";"740";"740";"-";"730";"730";"-";"2610";"2610";"-";"1190";"1190";"-";"1785";"1785";"-";"2020";"2020";"-"
"2401305";"      Augusto Severo";"1850";"1850";"-";"2010";"2010";"-";"270";"270";"-";"500";"500";"-";"500";"500";"-";"580";"580";"-";"319";"319";"-";"15";"15";"-";"175";"170";"5";"80";"80";"-";"40";"40";"-";"50";"50";"-";"320";"320";"-";"120";"120";"-";"70";"70";"-";"80";"80";"-";"100";"100";"-";"300";"300";"-"
"2405207";"      Janduís";"225";"225";"-";"212";"212";"-";"30";"30";"-";"150";"150";"-";"175";"175";"-";"122";"122";"-";"90";"90";"-";"...";"...";"...";"180";"180";"-";"80";"80";"-";"200";"200";"-";"236";"236";"-";"120";"120";"-";"120";"120";"-";"150";"150";"-";"150";"150";"-";"165";"165";"-";"200";"200";"-"
"2407609";"      Messias Targino";"420";"420";"-";"374";"374";"-";"39";"39";"-";"120";"120";"-";"96";"96";"-";"168";"168";"-";"117";"117";"-";"...";"...";"...";"100";"100";"-";"10";"10";"-";"100";"100";"-";"100";"100";"-";"90";"90";"-";"90";"90";"-";"140";"140";"-";"130";"130";"-";"150";"150";"-";"170";"170";"-"
"2408706";"      Paraú";"500";"500";"-";"400";"400";"-";"180";"180";"-";"100";"100";"-";"60";"60";"-";"80";"80";"-";"80";"80";"-";"30";"30";"-";"80";"80";"-";"5";"5";"-";"5";"5";"-";"100";"100";"-";"40";"40";"-";"80";"80";"-";"100";"100";"-";"80";"80";"-";"150";"150";"-";"80";"80";"-"
"2414456";"      Triunfo Potiguar";"300";"300";"-";"324";"324";"-";"150";"150";"-";"200";"200";"-";"150";"150";"-";"150";"150";"-";"150";"150";"-";"100";"100";"-";"100";"100";"-";"20";"20";"-";"150";"150";"-";"206";"206";"-";"100";"100";"-";"120";"120";"-";"150";"150";"-";"150";"150";"-";"120";"120";"-";"150";"150";"-"
"2414605";"      Upanema";"500";"500";"-";"472";"472";"-";"60";"60";"-";"800";"800";"-";"800";"800";"-";"1200";"1200";"-";"1560";"1560";"-";"...";"...";"...";"1200";"1200";"-";"200";"200";"-";"100";"100";"-";"200";"200";"-";"70";"70";"-";"200";"200";"-";"2000";"2000";"-";"600";"600";"-";"1100";"1100";"-";"1120";"1120";"-"
"24004";"    Vale do Açu";"4070";"4070";"-";"4265";"4265";"-";"2580";"2580";"-";"2600";"2600";"-";"2000";"2000";"-";"2450";"2450";"-";"3030";"3030";"-";"1720";"1720";"-";"3060";"3060";"-";"303";"303";"-";"549";"549";"-";"1742";"1742";"-";"1420";"1420";"-";"1790";"1790";"-";"1534";"1534";"-";"2180";"2180";"-";"2814";"2634";"180";"2578";"2578";"-"
"2400208";"      Açu";"1000";"1000";"-";"1000";"1000";"-";"600";"600";"-";"600";"600";"-";"250";"250";"-";"450";"450";"-";"600";"600";"-";"100";"100";"-";"600";"600";"-";"20";"20";"-";"150";"150";"-";"360";"360";"-";"300";"300";"-";"250";"250";"-";"200";"200";"-";"320";"320";"-";"550";"550";"-";"850";"850";"-"
"2400703";"      Alto do Rodrigues";"800";"800";"-";"800";"800";"-";"400";"400";"-";"250";"250";"-";"200";"200";"-";"200";"200";"-";"200";"200";"-";"100";"100";"-";"280";"280";"-";"15";"15";"-";"53";"53";"-";"292";"292";"-";"300";"300";"-";"750";"750";"-";"...";"...";"...";"320";"320";"-";"150";"150";"-";"180";"180";"-"
"2402501";"      Carnaubais";"600";"600";"-";"700";"700";"-";"600";"600";"-";"600";"600";"-";"400";"400";"-";"500";"500";"-";"500";"500";"-";"420";"420";"-";"420";"420";"-";"40";"40";"-";"180";"180";"-";"200";"200";"-";"220";"220";"-";"200";"200";"-";"200";"200";"-";"400";"400";"-";"880";"700";"180";"600";"600";"-"
"2404705";"      Ipanguaçu";"600";"600";"-";"600";"600";"-";"250";"250";"-";"400";"400";"-";"250";"250";"-";"400";"400";"-";"400";"400";"-";"600";"600";"-";"610";"610";"-";"10";"10";"-";"42";"42";"-";"480";"480";"-";"180";"180";"-";"240";"240";"-";"200";"200";"-";"300";"300";"-";"180";"180";"-";"120";"120";"-"
"2404853";"      Itajá";"180";"180";"-";"240";"240";"-";"150";"150";"-";"40";"40";"-";"40";"40";"-";"40";"40";"-";"60";"60";"-";"30";"30";"-";"150";"150";"-";"3";"3";"-";"5";"5";"-";"50";"50";"-";"40";"40";"-";"100";"100";"-";"121";"121";"-";"210";"210";"-";"100";"100";"-";"80";"80";"-"
"2406106";"      Jucurutu";"230";"230";"-";"265";"265";"-";"200";"200";"-";"150";"150";"-";"500";"500";"-";"400";"400";"-";"400";"400";"-";"70";"70";"-";"150";"150";"-";"60";"60";"-";"20";"20";"-";"150";"150";"-";"150";"150";"-";"80";"80";"-";"200";"200";"-";"160";"160";"-";"130";"130";"-";"48";"48";"-"
"2409902";"      Pendências";"300";"300";"-";"300";"300";"-";"200";"200";"-";"180";"180";"-";"100";"100";"-";"100";"100";"-";"290";"290";"-";"150";"150";"-";"350";"350";"-";"5";"5";"-";"80";"80";"-";"60";"60";"-";"70";"70";"-";"150";"150";"-";"263";"263";"-";"380";"380";"-";"500";"500";"-";"550";"550";"-"
