Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-06-12;0;32,5;25,3;
2021-06-13;null;29,6;25;
2021-06-14;2,4;31,9;24,8;
2021-06-15;null;29,5;24,4;
2021-06-16;9;29,4;24,6;
2021-06-17;null;31,2;22,1;
2021-06-18;0;32,1;23,7;
2021-06-19;null;32,4;24,3;
2021-06-20;0;31,7;23,5;
2021-06-21;null;33,2;24,6;
2021-06-22;0;33,1;24,7;
2021-06-23;null;30,6;22,4;
2021-06-24;24,4;33,3;23,7;
2021-06-25;0;32,2;24,2;
2021-06-26;0;32,4;24,2;
2021-06-27;0;31,9;25,4;
2021-06-28;0;31,5;24,7;
2021-06-29;0;27,5;24,2;
2021-06-30;36,2;28,4;21;
2021-07-01;0;28,6;21,6;
2021-07-02;0;29,9;23,7;
2021-07-03;2,2;26,7;23,3;
2021-07-04;42;29,9;21;
2021-07-05;0;31;22,6;
2021-07-06;0;29,1;24,7;
2021-07-07;1,2;31,8;23,1;
2021-07-08;1,6;30,3;23,9;
2021-07-09;,2;32,9;24,7;
2021-07-10;0;32,6;25;
2021-07-11;,2;30,4;25,9;
2021-07-12;14;32,2;23,1;
2021-07-13;15,8;30,9;23,3;
2021-07-14;,2;31,2;23,5;
2021-07-15;0;31,7;24,7;
2021-07-16;4,6;32,7;23,3;
2021-07-17;0;32,6;23,6;
2021-07-18;0;33,3;25,2;
2021-07-19;0;33,7;25,5;
2021-07-20;,6;31,7;24;
2021-07-21;36;31,7;22,9;
2021-07-22;1,4;32,6;24,8;
2021-07-23;20,4;30,6;24,1;
2021-07-24;,6;32,2;24,6;
2021-07-25;0;32,9;25,2;
2021-07-26;0;33,2;24,4;
2021-07-27;0;33,5;24,5;
2021-07-28;0;34,2;25;
2021-07-29;0;33,1;25,6;
2021-07-30;1,6;30,9;23,4;
2021-07-31;,2;31,4;23,5;
2021-08-01;0;31;24,1;
2021-08-02;0;29,5;24,3;
2021-08-03;17,6;33;22;
2021-08-04;6,6;33,5;22,4;
2021-08-05;20,6;32,3;21,7;
2021-08-06;0;33,1;24,4;
2021-08-07;0;33,3;25,7;
2021-08-08;0;33,5;24,4;
2021-08-09;0;33,9;25,4;
2021-08-10;0;33,6;24,7;
2021-08-11;0;34,6;24,3;
2021-08-12;10;33,7;22,8;
2021-08-13;17;28,1;23;
2021-08-14;31,8;29,9;22,4;
2021-08-15;0;32,6;23;
2021-08-16;0;32,6;24,1;
2021-08-17;5,6;33,7;24,3;
2021-08-18;0;33,9;26,1;
2021-08-19;0;33,3;26,1;
2021-08-20;0;34;24,6;
2021-08-21;0;34,5;25,8;
2021-08-22;0;35,1;25,9;
2021-08-23;0;34,7;26,2;
2021-08-24;0;35,3;26,4;
2021-08-25;0;35,4;27,1;
2021-08-26;0;36,2;27;
2021-08-27;0;35,6;27,5;
2021-08-28;0;33,4;26,6;
2021-08-29;0;33,1;25,1;
2021-08-30;7;30,7;23,5;
2021-08-31;51,6;30,5;21,7;
2021-09-01;1,4;31,1;24,4;
2021-09-02;9,4;33,4;23;
2021-09-03;0;34,9;25,1;
2021-09-04;0;32,7;23,7;
2021-09-05;0;33,3;25,3;
2021-09-06;,8;33,6;23,8;
2021-09-07;0;34,7;25,5;
2021-09-08;0;35,2;25,2;
2021-09-09;4,2;31,4;23,4;
2021-09-10;0;34,3;24,2;
2021-09-11;0;34,1;26,1;
2021-09-12;0;34,8;25,3;
2021-09-13;0;34,4;26,4;
2021-09-14;0;34,9;24,2;
2021-09-15;0;34,3;25,7;
2021-09-16;0;33,4;25,6;
2021-09-17;,6;32,5;23,5;
2021-09-18;2,6;29;23,9;
2021-09-19;29,8;33;22;
2021-09-20;0;33,4;23,6;
2021-09-21;1,8;33,8;25;
2021-09-22;0;34,9;26,7;
2021-09-23;0;33,6;25;
2021-09-24;0;32,6;23,9;
2021-09-25;0;34,1;26;
2021-09-26;0;31,5;25;
2021-09-27;0;30,3;25,1;
2021-09-28;4,2;32,7;23,8;
2021-09-29;0;32,5;23,8;
2021-09-30;,8;34;23,6;
2021-10-01;0;33,3;24,5;
2021-10-02;,4;32,3;24,3;
2021-10-03;36,4;32,6;23,7;
2021-10-04;0;34,2;25,9;
2021-10-05;0;34,2;26,6;
2021-10-06;0;35,4;25,7;
2021-10-07;0;32,5;26,9;
2021-10-08;0;31,7;24,8;
2021-10-09;0;32,7;24,8;
2021-10-10;0;34,7;24,4;
2021-10-11;0;35,6;25,9;
2021-10-12;1,2;35,9;25,3;
2021-10-13;0;35,4;26,2;
2021-10-14;6,4;36,6;25,5;
2021-10-15;0;35,9;27,7;
2021-10-16;0;35,4;28,1;
2021-10-17;0;32,8;27,8;
2021-10-18;0;31,1;24,1;
2021-10-19;0;34,5;24,5;
2021-10-20;0;34,4;25,3;
2021-10-21;19,6;28,7;25,4;
2021-10-22;51;34,2;22;
2021-10-23;44,4;33,1;23,1;
2021-10-24;4;34,4;23,6;
2021-10-25;,2;33,7;26,5;
2021-10-26;23,4;32,9;24,2;
2021-10-27;,2;30,3;25,4;
2021-10-28;18;33,2;22,5;
2021-10-29;,2;33,2;25,1;
2021-10-30;0;34,6;24,1;
2021-10-31;0;36,2;26,2;
2021-11-01;0;33,2;25,4;
2021-11-02;53,8;32,1;23,4;
2021-11-03;2,2;34;24,7;
2021-11-04;0;33,1;25,2;
2021-11-05;0;35,1;24,2;
2021-11-06;0;32,5;26,9;
2021-11-07;7;32,9;23,5;
2021-11-08;,2;31,3;25,5;
2021-11-09;0;31,7;24,2;
2021-11-10;6,6;32,7;24,8;
2021-11-11;0;28,1;25,9;
2021-11-12;1,2;32,8;24,4;
2021-11-13;5,2;32,5;25;
2021-11-14;21,2;33,1;24,4;
2021-11-15;1,8;34,6;24,8;
2021-11-16;56,6;30,9;24;
2021-11-17;7,8;31,5;24;
2021-11-18;19,2;26,4;23;
2021-11-19;1,6;31,4;23,7;
2021-11-20;15,6;31,7;22;
2021-11-21;29,8;30,8;21,9;
2021-11-22;0;33,4;24,3;
2021-11-23;28;32,7;23,7;
2021-11-24;0;34,3;24,4;
2021-11-25;0;33,7;25,2;
2021-11-26;0;32,1;25,3;
2021-11-27;38,2;32,9;23,3;
2021-11-28;25,4;31,4;23,7;
2021-11-29;2,2;32,3;25;
2021-11-30;0;33,2;25;
2021-12-01;0;33,6;25,5;
2021-12-02;,6;31,9;24,4;
2021-12-03;,4;32,1;24,5;
2021-12-04;6,8;32,9;24,4;
2021-12-05;0;30,9;24,4;
2021-12-06;12,4;29,4;24;
2021-12-07;12,2;30,3;22,9;
2021-12-08;3,4;32,3;24,2;
2021-12-09;,4;29,1;24,9;
2021-12-10;,2;31,9;25;
2021-12-11;0;28,3;25,1;
2021-12-12;44,6;32,1;23,6;
2021-12-13;51,8;32,1;23,9;
2021-12-14;7,4;30,9;24,9;
2021-12-15;,2;28,4;25,1;
2021-12-16;4;33,4;24,4;
2021-12-17;1,4;32,2;25,1;
2021-12-18;2;32,3;25,4;
2021-12-19;6,2;30,9;25,1;
2021-12-20;0;33,4;25,2;
2021-12-21;0;30,2;25,6;
2021-12-22;12,2;33,6;24,4;
2021-12-23;8,8;29,2;24,3;
2021-12-24;32;31,8;24,8;
2021-12-25;18,2;30,6;23,2;
2021-12-26;0;34,7;23,9;
2021-12-27;0;28,1;25,9;
2021-12-28;25,6;32,9;21,6;
2021-12-29;0;32,9;24,9;
2021-12-30;8;28,5;25;
2021-12-31;21,2;32,7;23,2;

